1889 cat #,Title,Artist,creation date,creation place,NB entry date,NB entry place,post NB 1 date,post NB 1 place,post NB 2 date,post NB place 2
1,Early Netherlandish School,Virgin and Child Enthroned,1433,"Brussels, Belgium ",1850-05-02,"London, England",1929,"Rechnitz, Austria",1992,"Madrid, Spain"
2,Early Netherlandish School,Saint Giles,1500,"Paris, France",1854,"London, England",1894,"The National Gallery, London",,
3,Early Netherlandish School,"Saints Cecily, Margaret, Agatha and Dorothy",1500,Netherlands,1856,"London, England",1929,"London, England",,
4,Early Netherlandish School,Virgin and Child,1535,"Bruges, West Flanders, Belgium",1851,"London, England",1929,"Bern, Switzerland",1961,"Amsterdam, Netherlands"
5,Early Netherlandish School,Vision of Saint Ildefonsus,1535,"Bruges, West Flanders, Belgium",1856,"London, England",1929,"Munich, Germany",1944,"Pittsburgh, PA"
6,Early Netherlandish School,Ecce Homo,1515,"Alkmaar, Netherlands",1873,"London, England",1932,"Antwerp, Belgium",,
7,Early Netherlandish School,Flight in to Egypt,1500,Netherlands,1840,"London, England",x,,,
8,Early Netherlandish School,Virgin and Child,1500,Netherlands,1880-04-10,"London, England",1940,"Rheden, Netherlands",1994,"Toulouse, France"
9,Early Netherlandish School,Virgin and Child,1485,Netherlands,1856,"London, England",1940-05,,,
10,Early German,Infant Christ Enthroned,1520,"Antwerp, Belgium",1880-04-10,"London, England",1929,"London, England",1978,"Bourg-en-Bresse, France"
11,Franis Clouet (Janet),Charlotte de France,1522,"Paris, France",1853,"London, England",1894,France,2008,United Kingdom
12,Franis Clouet (Janet),Marechal de la Marche,1530,"Paris, France",1869,"London, England",x,,,
13,Lucas Cranach the Elder,Christ Blessing Little Children,1535,"Wittenberg, Saxony-Anhalt, Germany",1854-06-12,"London, England",1941,"Berlin, Germany",1967,"Schleswig, Germany"
14,Lucas Cranach the Elder,Frederick III,1532,"Wittenberg, Saxony-Anhalt, Germany",1854-06-12,"London, England",x,,,
15,Lucas Cranach the Elder,John I,1532,"Wittenberg, Saxony-Anhalt, Germany",1854-06-12,"London, England",x,,,
16,Petrus Cristus,Portrait,1455,"Bruges, Belgium",1863,"London, England",1910,"The National Gallery, London",,
17,Albrecht DŸrer,Don Manuel de Menens,1525,"Antwerp, Belgium",1855,"London, England",x,,,
18,Albrecht DŸrer,Squirrels,1512,"Nuremberg, Germany",1854-06-12,"London, England",x,,,
19,Jan Gossaert of Maubeuge (Mabuse),Virgin and Child Enthroned,1519,"Flanders, Belgium",1854,"London, England",1895,"Aylesbury, Buckinghamshire, England",,
20,Jan Gossaert of Maubeuge (Mabuse),Virgin and Child Enthroned with Angels,1510,"Flanders, Belgium",1830,"London, England",1929,"London, England",1938,"New York, NY"
21,Jan Gossaert of Maubeuge (Mabuse),Philip le Bel,1493,Netherlands,1854-06-12,"London, England",1945,"Utrecht, Netherlands",1949,"Kasteel Huis Bergh, s-Heerenberg, Netherlands"
22,Hans Holbein (1497-1543),John Herbster,1516,"Basel, Switzerland",1854,"London, England",1899,"Basel, Switzerland",,
23,Quentin Matsys,Virgin and Child Entrhoned,1525,"Antwerp, Belgium",1864,"London, England",1981,"New York, NY",,
24,Martin Schaffner,Marriage of the Virgin,1530,"Ulm, Germany",1880-04-10,"London, England",1930-07,,,
25,Jan van Eyck,Virgin and Child,1437,"Bruges, Belgium",1857,"London, England",x,,,
26,Jan van Hemessen,Call of St. Matthew,1530,Netherlands,1859,"London, England",1930,"Rechnitz, Austria",1992,"Madrid, Spain"
27,Bernard Van Orley,Charles V,1520,"Antwerp, Belgium",1856-05-02,"London, England",1932,"London, England",1934,"Worcester Art Museum, Worcester, MA"
28,Jan Asselyn,Italian Landscape,1655,"Amsterdam, Netherlands",1846,"London, England",x,,,
29,Ludolph Backhuisen,View on the Brill,1675,"Amsterdam, Netherlands",1849,"London, England",x,,,
30,Ludolph Backhuisen,A Breeze at Sea,1680,"Amsterdam, Netherlands",1838,"London, England",1919-12,,,
31,Nicholas Berchem,Musical Peasants Passing a Ford,1650,Netherlands,1849,"London, England",x,,,
32,Gerrit Berck Heyde,"Market-Place, Haarlem",1661,"Haarlem, Netherlands",1846,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
33,Gerrit Berck Heyde,"Market-Place, Haarlem",1661,"Haarlem, Netherlands",1886,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
34,Ferdinand Bol,The Pearl Necklace,1649,"Amsterdam, Netherlands",1846,"London, England",1935,"Eindhoven, Netherlands",,
35,Ferdinand Bol,"Scene from Guarini's ""Pastor Fido""",1650,"Amsterdam, Netherlands",1846,"London, England",1919-12,"London, England",1937-08,"Legion of Honor, San Francisco, CA"
36,Ferdinand Bol,Admiral de Ruyter,1666,"Amsterdam, Netherlands",1846,"London, England",1919-12,,,
37,Jan Both,The Farewell,1640,"Utrecht, Netherlands",1851-06-28,"London, England",x,,,
38,Jan Both,Landscape,1640,"Utrecht, Netherlands",1845,"London, England",x,,,
39,Jan Bruegel,Travelling Peasants,1615,"Antwerp, Belgium",1880-04-10,"London, England",x,,,
40,Willem Buytewech the Younger,A Dune Landscape,1665,"Rotterdam, Netherlands",1851,"London, England",1910,"The National Gallery, London",,
41,Cats,The Doctor,1662,Netherlands,1840,"London, England",1940-05,,,
42,Gonzales Coques (Cocx),Gentleman and Lady on Horseback,1650,"Antwerp, Belgium",1851,"London, England",1931,"London, England",2006,Germany
43,Albert Cuyp,A Girl,1660,"Dordrecht, Netherlands",1850,"London, England",x,,,
44,Albrechtert Cuyp,View Near Dordrecht,1650,"Dordrecht, Netherlands",1846,"London, England",1890,"Waddesdon Manor, Buckinghamshire, United Kingdom",,
