location,whos_on_first_id
"Antwerp, Belgium",101748099
"Ascoli Piceno, Italy",85685387
"Augsburg, Germany",101748481
"Austin, TX",101724577
"Aylesbury, Buckinghamshire, England",101750423
"Badajoz, Spain",101748251
"Basel, Switzerland",101748459
"Bassano del Grappa, Italy",101836105
"Bern, Switzerland",101748453
"Bologna, Italy",101752665
"Boston, MA",85950361
"Bruges, Belgium",101748097
"Cambridge, England",101750465
"Camerino, Italy",101847679
"Cervinara, Italy",404465251
"Chicago, IL",85940195
"Cleveland, OH",101712563
"Coral Gables, FL",85933643
"Correggio, Italy",101796519
"Courtauld Institute of Art, London, England",135427843
"Delft, Netherlands",101752765
"Detroit, MI",85951091
"Dordrecht, Netherlands",101751841
"Dublin, Ireland",101751737
"Dunkirk, France",101750237
"Eindhoven, Netherlands",101751819
"Ferrara, Italy",101752673
"Ferrires, France",101753427
"Florence, Italy",101752643
"Frankfurt, Germany",101913837
"Granada, Spain",101748197
"Haarlem, Netherlands",101751897
"Hampstead, London, England",85787869
"Haywards Heath, Englabd",101854599
"Helensburgh, Scotland",101872617
"Hexham, Northumberland, England",101872371
Italy,85633253
"Kansas City, MO",85970739
"Kasteel Huis Bergh, s-Heerenberg, Netherlands",253412233
"Legion of Honor, San Francisco, CA",588412397
"Leiden, Netherlands",101751833
"Liechtenstein Museum - The Princely Collections, Vienna, Austria",1092349003
"Liverpool, England",101750547
"London, England",101750367
"Los Angeles, CA",85923517
"Lucca, Italy",101752645
"Lugano, Switzerland",102062767
"Madrid, Spain",101748283
"Manchester, England",101750525
"Messina, Italy",101752519
"Metropolitan Museum of Art, New York, NY",555170613
"Milan, Italy",101752703
"Milwaukee, WI",101732987
"Munich, Germany",101748479
"Museum Boijmans, Rotterdam, Netherlands",253406535
"Nancy, France",101750135
"Naples, Italy",101752555
Netherlands,85633337
"New York, NY",85977539
"Nijmegen, Netherlands",101751859
"Nuremberg, Germany",101748543
"Oberlin, OH",101712961
"Oxford, England",101750439
"Palm Beach, FL",85931971
"Paris, France",101751119
"Parma, Italy",101752675
"Pasadena, CA",85923487
"Perugia, Italy",101752621
"Philadelphia, PA",101718083
"Pittsburgh, PA",101718805
"Ponce, Puerto Rico",101918891
"Princeton, NJ",85975813
"Raleigh, NC",85980569
"Rechnitz, Austria",101787891
"Riggisberg, Switzerland",101854113
"Riverside, CA",85923345
"Rome, Italy",101752607
"Rotterdam, Netherlands",101751843
"San Marino, CA",85923833
"Sarasota, FL",85932709
"Schleswig, Germany",101805185
"Seville, Spain",101748225
Spain,85633129
"Surrey, England",85684417
"The Hague, Netherlands",101752763
"The National Gallery, London",924252567
"The Univeristy of Oxford, Oxford, England",219405921
"Tokyo, Japan",102031307
"Toulouse, France",101750691
"Tuscany, Italy",404227511
"Ulm, Germany",101748485
United Kingdom,85633159
"Utrecht, Netherlands",101751827
"Venice, Italy",101752689
"Verona, Italy",101752711
"Waddesdon Manor, Buckinghamshire, United Kingdom",119381743
"Worcester Art Museum, Worcester, MA",672193985
"York, England",101751641
"Zurich, Switzerland",101748463
"Albino, Italy",404468609
"Amsterdam, Netherlands",101751893
"Flanders, Belgium",404227357
"Wittenberg, Saxony-Anhalt, Germany",101820983
"Alkmaar, Netherlands",404474025
"Bruges, West Flanders, Belgium",101748097
"Brussels, Belgium",101751573
"Rheden, Netherlands",404473933
France,85633147
"Berlin, Germany",101748799
"Worcester, MA",404476639
"San Simeon, CA",85925337
"Haywards Heath, England",404445831
"Washington, D.C.",85931779
"Bourg-en-Bresse, France",404413457
Germany,85633111
"New Haven, CT",404495787
"Atlanta, GA",85936429
"Cincinnati, OH",101712203
