"Albino, Italy ",404468609
"Alkmaar, Netherlands",404474025
"Amsterdam, Netherlands",101751893
"Antwerp, Belgium",101748099
"Ascoli Piceno, Italy",85685387
"Atlanta, GA",85936429
"Augsburg, Germany",101748481
"Austin, TX",101724577
"Aylesbury, Buckinghamshire, England",101750423
"Badajoz, Spain",101748251
"Basel, Switzerland",101748459
"Bassano del Grappa, Italy",101836105
"Berlin, Germany",101748799
"Bern, Switzerland",101748453
"Bologna, Italy",101752665
"Boston, MA",85950361
"Bourg-en-Bresse, France",404413457
"Brandenburg, Germany",85682553
"Bruges, Belgium",101748097
"Bruges, West Flanders, Belgium",101748097
"Brussels, Belgium ",101751573
"Buenos Aires, Argentina ",421174285
"Bussum, Netherlands",101753097
"Cádiz, Spain",101748173
"Cambridge, England",101750465
"Camerino, Italy",101847679
Canada,85633041
"Cervinara, Italy",404465251
"Chantilly, France",101828497
"Cheltenham, England",101750435
"Chicago, IL",85940195
"Cincinnati, OH ",101712203
"City of Peterborough, England",85684593
"Cleveland, OH",101712563
"Cologne, Germany",101752771
"Coral Gables, FL",85933643
"Cornwall, England",85684547
"Correggio, Italy",101796519
"Corsham, England",101852749
"Courtauld Institute of Art, London, England",135427843
"Delft, Netherlands",101752765
"Detroit, MI",85951091
"Dordrecht, Netherlands",101751841
"Dorset, England",85683805
"Dublin, Ireland",101751737
"Dunkirk, France",101750237
"Eindhoven, Netherlands",101751819
Enkhuizen,101837921
"Ferrara, Italy",101752673
"Ferrières, France",101753427
"Ferrires, France",101753427
"Flanders, Belgium ",404227357
"Florence, Italy",101752643
France,85633147
"Frankfurt, Germany",101913837
"Genova, Italy",101752663
Germany,85633111
"Granada, Spain",101748197
"Haarlem, Netherlands",101751897
"Hampshire, England",85684375
"Hampstead, London, England",85787869
"Haywards Heath, Englabd",101854599
"Haywards Heath, England",404445831
"Helensburgh, Scotland",101872617
"Hertfordshire, England",85684331
"Hexham, Northumberland, England",101872371
"Hoevelaken, Netherlands",101807081
"Huizen, netherlands",101837931
"Innerleithen, Scotland",101873483
Italy,85633253
"Kansas City, MO",85970739
"Kasteel Huis Bergh, s-Heerenberg, Netherlands",253412233
"Legion of Honor, San Francisco, CA",588412397
"Leiden, Netherlands",101751833
"Liechtenstein Museum - The Princely Collections, Vienna, Austria",1092349003
"Liverpool, England",101750547
"London, England",101750367
"Los Angeles, CA",85923517
"Lucca, Italy",101752645
"Lugano, Switzerland",102062767
"Lugano, Switzerland",101875955
"Maastricht, Netherlands",101751803
"Madrid, Spain",101748283
"Manchester, England",101750525
"Messina, Italy",101752519
"Metropolitan Museum of Art, New York, NY",555170613
"Milan, Italy",101752703
"Milwaukee, WI",101732987
"Monmouthshire, Wales",85684303
"Munich, Germany",101748479
"Museum Boijmans, Rotterdam, Netherlands",253406535
"Nancy, France",101750135
"Naples, Italy",101752555
Netherlands,85633337
"New York, NY",85977539
"Nijmegen, Netherlands",101751859
Nordrhein-Westfalen,85682513
"Nuremberg, Germany",101748543
"Oberlin, OH",101712961
"Oxford, England",101750439
"Palm Beach, FL",85931971
"Paris, France",101751119
"Parma, Italy",101752675
"Pasadena, CA",85923487
"Penshurst, England",404455009
"Perth and Kinross, Scotland",85683863
"Perugia, Italy",101752621
"Philadelphia, PA",101718083
"Pittsburgh, PA",101718805
"Ponce, Puerto Rico",101918891
"Potsdam, Prussia",101748815
"Princeton, NJ",85975813
"Raleigh, NC",85980569
"Rechnitz, Austria",101787891
"Rheden, Netherlands ",404473933
"Riggisberg, Switzerland",101854113
"Riverside, CA",85923345
"Rome, Italy",101752607
"Rotterdam, Netherlands",101751843
"San Marino, CA",85923833
"San Simeon, CA ",85925337
"Sarasota, FL",85932709
"Schleswig, Germany",101805185
"Seville, Spain",101748225
"South Lanarkshire, Scotland",85683955
Spain,85633129
"Surrey, England",85684417
"The Hague, Netherlands",101752763
"The National Gallery, London",924252567
"The Univeristy of Oxford, Oxford, England",219405921
"Tokyo, Japan",102031307
"Toulouse, France",101750691
"Tuscany, Italy",404227511
"Ulm, Germany",101748485
United Kingdom,85633159
"Utrecht, Netherlands",101751827
"Venice, Italy",101752689
"Verona, Italy",101752711
"Waddesdon Manor, Buckinghamshire, United Kingdom",119381743
"Washington, D.C. ",85931779
"Wiltshire, England",85683939
"Wittenberg, Saxony-Anhalt, Germany ",101820983
"Worcester Art Museum, Worcester, MA",672193985
"Worcester, MA ",404476639
"York, England",101751641
"Zoeterwoude, Netherlands",404474289
"Zurich, Switzerland",101748463
"Albino, Italy",404468609
"Amsterdam, Netherlands",101751893
"Flanders, Belgium",404227357
"Wittenberg, Saxony-Anhalt, Germany",101820983
"Alkmaar, Netherlands",404474025
"Bruges, West Flanders, Belgium",101748097
"Brussels, Belgium",101751573
"Rheden, Netherlands",404473933
France,85633147
"Berlin, Germany",101748799
"Worcester, MA",404476639
"San Simeon, CA",85925337
"Haywards Heath, England",404445831
"Washington, D.C.",85931779
"Bourg-en-Bresse, France",404413457
Germany,85633111
"New Haven, CT",404495787
"Atlanta, GA",85936429
"Cincinnati, OH",101712203
"Cadiz, Spain",101748173
"Burleigh, England",101877121
"Buenos Aires, Argentina",85668015
"Jacksonville, FL", 85932547
"Clytha, Wales", 85684303
